City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_name
268,,-25.27,23.28,57.15,38,0,5.57,BW,1593629044,Werda
270,,8.87,5.42,80.29,76,12,1.45,NG,1593629045,Lafiagi
271,,64.25,-15.21,53.6,76,40,5.82,IS,1593629021,Hofn
272,,9.19,117.81,80.13,77,96,5.55,PH,1593629049,Tagusao
273,,-3.67,152.43,78.62,74,100,4.92,PG,1593629050,Namatanai
275,,46.91,-67.39,84.99,45,75,3.36,CA,1593629052,Plaster Rock
276,,15.85,-97.07,87.8,62,5,8.19,MX,1593629052,Puerto Escondido
278,,52.85,-102.38,72.95,64,2,7.56,CA,1593629055,Hudson Bay
281,,-32.68,-57.63,48.99,78,100,4.0,UY,1593629056,Young
284,,65.98,60.31,53.49,61,100,7.63,RU,1593629057,Verkhnyaya Inta
285,,40.6,-124.16,64.0,77,40,12.75,US,1593628885,Fortuna
286,,-26.62,-54.13,52.92,71,80,4.36,AR,1593629059,San Vicente
287,,39.45,47.34,75.2,50,40,9.17,AZ,1593629060,Horadiz
289,,-17.58,-71.33,66.2,77,75,4.7,PE,1593629062,Pacocha
290,,-8.84,13.23,75.2,78,0,6.93,AO,1593629054,Luanda
292,,36.32,49.17,51.22,65,18,9.15,IR,1593629063,Alvand
293,,78.22,15.64,48.2,45,0,8.05,SJ,1593629063,Longyearbyen
296,,38.52,-28.7,69.8,68,75,8.05,PT,1593629065,Ribeira Grande
300,,-19.58,-65.75,53.11,29,0,18.72,BO,1593629068,Potosí
301,,30.48,-115.95,69.93,58,0,12.73,MX,1593629068,San Quintín
302,,-5.56,-80.82,75.24,54,0,14.88,PE,1593629069,Sechura
303,,-34.73,135.87,51.21,67,1,15.79,AU,1593629071,Port Lincoln
304,,-7.05,113.93,80.13,76,0,10.83,ID,1593629075,Kalianget
305,,38.02,-122.13,81.0,50,1,5.86,US,1593629075,Martinez
306,,30.37,-88.56,93.2,63,1,10.29,US,1593629076,Pascagoula
310,,27.9,102.26,68.04,78,100,1.95,CN,1593629077,Xichang
311,,39.05,-27.98,63.84,69,18,7.09,PT,1593629078,Lagoa
312,,49.78,-74.85,84.2,39,90,4.7,CA,1593629078,Chapais
314,,48.4,-89.32,75.2,73,75,11.41,CA,1593629066,Thunder Bay
317,,54.43,50.81,54.97,77,100,8.39,RU,1593629083,Nurlat
318,,-21.04,-57.87,72.09,26,0,6.73,PY,1593629084,Fuerte Olimpo
320,,-2.63,-56.74,89.19,54,40,4.59,BR,1593629088,Parintins
324,,18.39,42.45,77.0,41,20,2.1,SA,1593629088,Faya
325,,44.08,-80.2,86.0,42,1,10.29,CA,1593628920,Shelburne
326,,42.14,-77.05,80.6,51,20,9.17,US,1593629089,Corning
329,,69.3,139.9,49.95,56,0,7.36,RU,1593629090,Deputatsky
330,,22.68,-3.98,107.04,8,66,7.16,ML,1593629091,Taoudenni
331,,9.06,-62.05,88.84,57,64,7.96,VE,1593629092,Tucupita
332,,63.29,18.72,57.2,35,0,16.11,SE,1593628886,Örnsköldsvik
333,,33.19,-82.53,88.0,62,40,10.29,US,1593629036,Avera
335,,42.27,118.96,67.41,72,100,1.34,CN,1593629099,Chifeng
338,,-0.9,-89.6,75.2,73,75,16.11,EC,1593629085,Puerto Baquerizo Moreno
339,,44.3,15.09,82.4,51,0,4.7,HR,1593629100,Vir
340,,-20.42,-63.28,67.53,26,0,7.94,BO,1593629101,Boyuibe
341,,-35.72,150.18,51.01,79,0,5.01,AU,1593629101,Batemans Bay
342,,26.33,43.98,100.4,18,8,5.82,SA,1593629102,Buraidah
343,,-34.65,-58.62,48.99,69,100,4.0,AR,1593629046,Morón
344,,49.17,-101.8,72.0,70,0,7.0,CA,1593629045,Carnduff
345,,16.03,-93.87,87.1,64,64,9.42,MX,1593629102,Paredon
346,,21.28,-88.27,90.52,58,22,7.7,MX,1593629103,Panabá
347,,9.98,39.98,79.7,41,100,5.39,ET,1593629103,Abomsa
348,,27.04,-82.24,93.0,62,100,1.01,US,1593628916,North Port
349,,58.3,-134.42,59.0,67,20,11.41,US,1593629103,Juneau
350,,-22.96,14.51,71.01,38,0,17.56,NA,1593629104,Walvis Bay
351,,72.79,-56.15,38.79,76,95,15.37,GL,1593629104,Upernavik
353,,62.14,117.63,66.63,71,44,4.47,RU,1593629104,Suntar
355,,6.3,120.58,83.19,72,20,5.41,PH,1593629105,Simbahan
358,,9.2,12.48,82.62,60,67,3.2,NG,1593629106,Yola
360,,59.7,150.17,51.33,62,15,4.36,RU,1593629107,Arman'
363,,-1.77,-55.87,87.89,59,31,4.47,BR,1593629108,Oriximiná
364,,-1.95,18.27,74.97,65,1,0.76,CD,1593629109,Inongo
365,,44.25,-116.97,66.99,37,1,6.93,US,1593629111,Weiser
367,,11.28,49.18,94.78,37,100,20.83,SO,1593629113,Bosaso
374,,64.86,-147.8,55.99,66,75,2.86,US,1593629085,College
375,,32.0,-80.97,93.2,49,40,14.99,US,1593629115,Wilmington Island
376,,36.19,-94.13,89.01,74,40,6.93,US,1593629116,Springdale
377,,59.38,143.3,50.09,76,0,9.75,RU,1593629116,Okhotsk
378,,20.5,-10.07,105.42,10,34,14.72,MR,1593629116,Adrar
379,,60.34,102.28,59.45,68,61,4.83,RU,1593629078,Vanavara
380,,13.35,-15.75,87.4,56,84,14.63,GM,1593629085,Nioro
381,,-30.67,-51.4,56.68,75,63,14.83,BR,1593629117,Tapes
382,,42.78,-9.06,66.99,73,1,7.0,ES,1593629117,Muros
384,,-0.87,134.08,78.58,74,100,3.94,ID,1593629118,Manokwari
385,,44.05,2.16,77.0,69,14,7.31,FR,1593629118,Carmaux
386,,68.05,39.51,59.83,70,0,19.15,RU,1593629118,Ostrovnoy
388,,-12.85,45.14,77.0,78,20,20.8,YT,1593629119,Ouangani
389,,47.67,-52.73,80.01,69,20,23.04,CA,1593629120,Torbay
391,,-40.81,-63.0,49.48,68,97,8.97,AR,1593629120,Viedma
393,,31.3,-109.57,86.0,31,99,8.01,MX,1593629120,Agua Prieta
394,,36.85,-75.98,90.0,58,75,9.17,US,1593628895,Virginia Beach
396,,-2.92,-39.92,81.75,75,9,12.57,BR,1593629121,Itarema
397,,-13.34,-44.64,83.61,38,93,2.24,BR,1593629121,Correntina
398,,42.25,-75.83,73.99,78,40,6.93,US,1593628828,Broome
399,,-12.97,40.52,75.2,78,20,16.11,MZ,1593629122,Pemba
401,,-7.91,39.67,77.7,77,21,18.19,TZ,1593629122,Kilindoni
402,,43.65,51.2,71.6,30,0,11.18,KZ,1593629123,Aktau
403,,-25.97,32.59,66.2,77,0,8.05,MZ,1593629123,Maputo
404,,41.19,61.4,78.01,35,0,19.8,TM,1593629123,Gazojak
406,,65.85,74.49,48.58,71,0,3.36,RU,1593629125,Pangody
407,,7.77,-72.22,89.6,52,40,3.36,VE,1593629048,San Cristobal
408,,-21.64,-41.05,84.2,45,100,9.17,BR,1593628839,São João da Barra
409,,27.91,-15.54,77.0,69,20,28.86,ES,1593629128,Santa Lucía
410,,47.38,34.94,77.0,60,8,6.71,UA,1593629128,Balky
411,,-16.48,-151.75,78.82,80,63,23.26,PF,1593629129,Faanui
412,,-13.2,49.05,68.34,78,5,3.24,MG,1593629129,Ambilobe
414,,-23.86,35.38,65.3,77,30,7.63,MZ,1593629129,Inhambane
418,,-12.04,-77.03,64.4,77,90,8.05,PE,1593628977,Lima
419,,25.02,37.27,81.81,60,0,1.28,SA,1593629133,Umluj
420,,-33.38,148.02,54.0,70,83,5.01,AU,1593629140,Forbes
424,,-25.05,33.64,61.81,76,0,4.54,MZ,1593629143,Xai-Xai
425,,51.06,-0.33,66.2,63,40,12.75,GB,1593629143,Horsham
429,,37.59,-120.96,80.6,32,1,5.82,US,1593629145,Ceres
430,,-1.4,120.75,77.13,75,59,4.79,ID,1593629145,Poso
432,,-11.1,-77.61,67.5,63,3,9.57,PE,1593629145,Hualmay
433,,-11.38,43.28,77.49,72,100,14.9,KM,1593629146,Mitsamiouli
434,,65.44,52.15,59.85,58,100,8.16,RU,1593629146,Ust-Tsilma
435,,14.72,-92.42,89.6,55,5,3.36,MX,1593629147,Puerto Madero
436,,26.54,-77.06,86.16,65,0,11.39,BS,1593629147,Marsh Harbour
437,,4.77,33.59,78.1,55,100,4.12,SS,1593629148,Kapoeta
438,,35.75,-81.68,91.99,30,1,4.18,US,1593629148,Morganton
440,,-26.82,-65.22,57.2,44,20,6.93,AR,1593629150,San Miguel de Tucumán
442,,-19.93,-60.77,71.28,24,29,5.35,PY,1593629151,Mayor Pablo Lagerenza
445,,21.43,39.83,89.28,26,0,7.58,SA,1593629091,Makkah al Mukarramah
446,,51.73,36.19,66.2,68,0,4.47,RU,1593629152,Kursk
447,,44.06,-103.15,82.0,21,1,16.11,US,1593629152,Rapid Valley
449,,32.69,128.84,71.15,77,0,4.7,JP,1593629153,Fukuechō
450,,41.23,32.38,65.23,68,0,1.72,TR,1593629153,Satuk
451,,-0.48,15.9,76.96,74,25,1.43,CG,1593629154,Owando
454,,42.78,20.49,78.8,47,40,3.36,XK,1593629155,Istok
456,,2.27,-75.8,82.98,53,3,6.42,CO,1593629157,Pital
457,,10.37,10.73,83.66,54,3,7.05,NG,1593629157,Bara
458,,41.76,86.15,78.39,17,7,9.6,CN,1593629157,Korla
459,,-20.74,116.85,68.95,59,54,4.92,AU,1593629075,Karratha
461,,17.49,44.13,91.4,16,100,2.24,SA,1593629159,Najrān
462,,18.47,120.58,82.15,77,100,8.01,PH,1593629160,Davila
463,,58.21,-6.39,55.0,66,0,16.11,GB,1593629160,Stornoway
464,,-5.95,29.19,72.48,67,88,6.4,CD,1593629161,Kalemie
465,,38.41,112.73,64.96,78,100,1.57,CN,1593629161,Xinzhou
466,,-5.2,-35.46,82.4,65,40,8.05,BR,1593629161,Touros
467,,39.64,34.47,66.52,55,0,6.31,TR,1593629161,Yerköy
468,,40.92,9.49,82.4,69,0,5.82,IT,1593629162,Olbia
469,,39.33,-82.98,89.01,45,1,7.94,US,1593629162,Chillicothe
470,,66.27,33.05,59.54,80,100,9.31,RU,1593629162,Chupa
471,,1.74,98.78,76.44,78,96,3.47,ID,1593629060,Sibolga
472,,50.1,1.83,64.99,78,6,5.99,FR,1593629164,Abbeville
473,,39.89,4.27,84.2,54,0,8.05,ES,1593629164,Mahon
474,,62.71,56.2,49.95,69,68,5.88,RU,1593629164,Troitsko-Pechorsk
475,,-0.19,-74.78,92.86,43,36,1.95,CO,1593629164,Caucayá
477,,-13.7,-76.22,64.4,72,90,4.7,PE,1593629085,Pisco
478,,44.88,-91.92,84.0,61,40,5.82,US,1593628959,Menomonie
480,,5.56,95.32,79.95,79,97,2.1,ID,1593629169,Banda Aceh
483,,19.75,10.25,92.77,10,0,7.16,NE,1593629174,Agadez
484,,17.15,-25.02,80.6,57,20,17.22,CV,1593629174,Pombas
486,,11.28,-15.83,81.91,78,100,8.86,GW,1593629174,Bubaque
487,,46.05,20.48,81.0,47,0,6.93,RO,1593629174,Dudeştii Vechi
488,,38.76,-93.74,81.0,69,100,4.7,US,1593629175,Warrensburg
491,,9.35,42.8,65.39,72,100,17.76,ET,1593629175,Jijiga
492,,-8.14,159.59,79.5,79,100,4.72,SB,1593629175,Buala
493,,66.94,-53.67,49.57,59,41,6.93,GL,1593629098,Sisimiut
494,,60.55,-151.26,62.01,62,1,5.17,US,1593629177,Kenai
496,,-10.07,-78.15,68.65,63,0,11.25,PE,1593629178,Huarmey
497,,66.53,66.6,51.87,64,0,7.11,RU,1593629178,Salekhard
498,,42.04,-87.69,87.01,58,1,10.29,US,1593628910,Evanston
500,,43.21,-8.69,63.0,80,43,5.01,ES,1593629179,Carballo
501,,36.21,57.68,80.51,18,0,10.78,IR,1593629179,Sabzawār
502,,54.23,-125.75,66.51,43,83,9.8,CA,1593629179,Burns Lake
503,,43.21,-75.46,78.01,73,75,8.05,US,1593629179,Rome
505,,50.2,-66.38,80.6,51,75,10.29,CA,1593629180,Sept-Îles
506,,32.38,15.09,77.63,67,0,6.44,LY,1593629121,Misratah
507,,54.52,-128.6,62.6,59,20,9.17,CA,1593628925,Terrace
508,,62.79,22.83,59.0,54,0,6.93,FI,1593628950,Seinäjoki
512,,70.02,135.6,60.19,45,14,4.03,RU,1593629181,Ust-Kuyga
513,,35.15,-107.85,78.8,10,1,10.29,US,1593629181,Grants
515,,37.72,-25.43,69.8,64,75,6.93,PT,1593629182,Vila Franca do Campo
518,,-6.53,-64.38,90.52,51,100,4.14,BR,1593629182,Canutama
519,,14.97,8.89,97.43,19,22,8.68,NE,1593629183,Tanout
521,,8.3,30.14,74.98,79,100,2.24,SS,1593629183,Leer
523,,-12.26,44.53,75.7,79,100,12.73,KM,1593629184,Domoni
524,,42.95,72.76,75.79,28,84,8.34,KZ,1593629184,Lugovoy
525,,52.0,-0.99,64.99,63,0,3.0,GB,1593629184,Buckingham
526,,55.0,25.78,68.0,64,75,5.82,LT,1593629184,Pabradė
527,,19.28,-81.25,89.6,75,20,9.17,KY,1593629185,Bodden Town
529,,2.04,45.34,78.24,80,100,18.88,SO,1593628975,Mogadishu
530,,51.26,-80.61,80.6,57,90,12.75,CA,1593629186,Moose Factory
531,,57.84,108.35,65.1,62,0,3.94,RU,1593629186,Alekseyevsk
532,,43.12,6.12,77.0,69,0,8.05,FR,1593629186,Hyères
534,,55.43,86.08,69.8,77,40,6.71,RU,1593629188,Borovoy
536,,5.89,95.32,82.72,72,100,1.74,ID,1593629188,Sabang
537,,24.09,32.91,90.1,12,0,13.2,EG,1593629189,Aswān
538,,32.3,69.57,82.67,46,0,2.3,PK,1593629189,Wana
539,,34.53,-82.65,84.2,62,1,11.41,US,1593628920,Anderson
540,,43.41,-124.22,66.99,77,75,11.41,US,1593629190,North Bend
541,,46.05,38.17,75.51,71,0,4.05,RU,1593629190,Primorsko-Akhtarsk
543,,4.87,-2.24,76.1,79,100,5.97,GH,1593629191,Esim
544,,-1.8,37.62,64.24,72,100,6.26,KE,1593629193,Makueni Boma
545,,21.35,-158.09,82.4,54,1,6.93,US,1593629194,Makakilo City
546,,13.47,22.2,86.67,41,100,9.8,TD,1593629194,Adré
547,,20.45,-101.52,71.6,60,75,9.17,MX,1593629194,Abasolo
548,,30.19,-82.64,93.0,55,40,5.82,US,1593629194,Lake City
